"scenario", "treatment", "ctime", "air.temp", "TAN.app", "man.dm", "man.ph", "app.mthd", "rain.cum", "app.rate.ni", "j"                , "er"                 , "shift"
         1, "AA"       ,     164,     12.4  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.00773333124664077, 0.336098918518431    ,    0
         1, "AA"       ,     165,     12.4  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.00758902113641824, 0.336221322085147    ,    0
         1, "AA"       ,     166,     12.6  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.00744740798710453, 0.33634144156881     ,    0
         1, "AA"       ,     167,     12.9  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.00730843929420644, 0.336459319621943    ,    0
         1, "AA"       ,     168,     12.8  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.00717205978814661, 0.336574998005623    ,    0
         1, "AA"       ,     169,     12.9  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0070382284482271 , 0.336688517819304    ,    0
         1, "AA"       ,     170,     12.8  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.00690689340931883, 0.336799919325906    ,    0
         2, "H2SO4"    ,       0,      8.127,      62.5,     7.25,     6.25, "bc"      ,          0,            29, Inf                , 4.50595051060018e-18 ,    0.27
         2, "H2SO4"    ,       1,      8.065,      62.5,     7.25,     6.25, "bc"      ,          0,            29, 1.36874833771769   , 0.0218999734034831   ,    0.27
         2, "H2SO4"    ,       2,      7.727,      62.5,     7.25,     6.25, "bc"      ,          0,            29, 1.21987971507099   , 0.0414180488446189   ,    0.27
         2, "H2SO4"    ,       3,      7.962,      62.5,     7.25,     6.25, "bc"      ,          0,            29, 1.1412254024957    , 0.0596776552845501   ,    0.27
         2, "H2SO4"    ,       4,      7.968,      62.5,     7.25,     6.25, "bc"      ,          0,            29, 1.04799014242788   , 0.0764454975633963   ,    0.27
         2, "H2SO4"    ,       5,      6.611,      62.5,     7.25,     6.25, "bc"      ,          0,            29, 0.865012843464279  , 0.0902857030588247   ,    0.27
         2, "H2SO4"    ,       6,      6.073,      62.5,     7.25,     6.25, "bc"      ,          0,            29, 0.766244814850405  , 0.102545620096431    ,    0.27
         2, "H2SO4"    ,       7,      6.135,      62.5,     7.25,     6.25, "bc"      ,          0,            29, 0.71271268623968   , 0.113949023076266    ,    0.27
         2, "H2SO4"    ,       8,      6.554,      62.5,     7.25,     6.25, "bc"      ,          0,            29, 0.681322541802287  , 0.124850183745103    ,    0.27
         2, "H2SO4"    ,       9,      6.673,      62.5,     7.25,     6.25, "bc"      ,          0,            29, 0.636535615083548  , 0.135034753586439    ,    0.27
         2, "H2SO4"    ,      10,      6.573,      62.5,     7.25,     6.25, "bc"      ,          0,            29, 0.585594233075845  , 0.144404261315653    ,    0.27
         2, "H2SO4"    ,      11,      6.554,      62.5,     7.25,     6.25, "bc"      ,          0,            29, 0.542657014767419  , 0.153086773551932    ,    0.27
         2, "H2SO4"    ,      12,      6.754,      62.5,     7.25,     6.25, "bc"      ,          0,            29, 0.511206131090264  , 0.161266071649376    ,    0.27
         2, "H2SO4"    ,      13,      6.711,      62.5,     7.25,     6.25, "bc"      ,          0,            29, 0.473727267261891  , 0.168845707925566    ,    0.27
